,word,x,y
126,become,37.30392074584961,-5.614295482635498
127,given,17.178661346435547,-31.172754287719727
128,when,13.315476417541504,21.838077545166016
129,their,21.991268157958984,-1.110519528388977
130,increases,34.6702766418457,-11.87536334991455
131,More,-10.216363906860352,8.939584732055664
132,precisely,23.19835662841797,-6.182713508605957
133,converges,12.877695083618164,-42.701663970947266
134,there,29.07143783569336,35.501129150390625
135,exists,12.16269302368164,-41.23915100097656
136,ell,12.124574661254883,-44.033992767333984
137,such,23.964685440063477,-9.634502410888672
138,any,9.14760684967041,-30.213741302490234
139,small,-1.0402086973190308,43.04348373413086
140,positive,10.427593231201172,-42.34745407104492
141,varepsilon,11.897346496582031,-44.52096939086914
142,sufficiently,33.27762985229492,-13.20677661895752
143,large,7.299630641937256,27.527969360351562
144,N,11.700408935546875,-45.84785079956055
